T,X,beta_B,beta_W,N,nScenarios_agg,nScenarios_eco,ratio,pct_error_beta_B_using_T,pct_error_beta_W_using_T,beta_B_est,beta_W_est,abs_error_beta_B,abs_error_beta_W,pct_error_beta_B,pct_error_beta_W,eco_improvement2_B,eco_improvement2_W,estimation_difference_B,estimation_difference_W,x_BT_est,x_WT_est,x_BTnot_est,x_WTnot_est,x_BT,x_WT,x_BTnot,x_WTnot,obj_gt_T_memb_0_est_T_eco_T,obj_gt_T_memb_0_est_T_eco_F,obj_gt_T_memb_0_est_F_eco_T,obj_gt_T_memb_0_est_F_eco_F,obj_gt_F_memb_0_est_T_eco_T,obj_gt_F_memb_0_est_T_eco_F,obj_gt_F_memb_0_est_F_eco_T,obj_gt_F_memb_0_est_F_eco_F,obj_gt_T_memb_1_est_T_eco_T,obj_gt_T_memb_1_est_T_eco_F,obj_gt_T_memb_1_est_F_eco_T,obj_gt_T_memb_1_est_F_eco_F,obj_gt_F_memb_1_est_T_eco_T,obj_gt_F_memb_1_est_T_eco_F,obj_gt_F_memb_1_est_F_eco_T,obj_gt_F_memb_1_est_F_eco_F,obj_gt_T_memb_N_est_T_eco_T,obj_gt_T_memb_N_est_T_eco_F,obj_gt_T_memb_N_est_F_eco_T,obj_gt_T_memb_N_est_F_eco_F,obj_gt_F_memb_N_est_T_eco_T,obj_gt_F_memb_N_est_T_eco_F,obj_gt_F_memb_N_est_F_eco_T,obj_gt_F_memb_N_est_F_eco_F
0.8632000000000001,0.12,0.52,0.91,50,99884400.0,2715020.0,36.789563244469655,-0.6600000000000001,0.05142857142857137,0.3958,0.9269,-0.12420000000000003,0.016899999999999915,-0.2388461538461539,0.01857142857142848,0.4211538461538462,0.0328571428571429,0.4674000000000001,0.06369999999999987,2.3748,40.7836,3.6252000000000004,0.4386000000000003,3.12,40.04,2.88,0.5399999999999998,0.0,0.0,35.79553208546844,34.649435067344236,0.0,0.0,35.49054653882428,37.13625773630618,0.0,0.0,47.47301549190093,59.9683528338217,0.0,0.0,45.710246117285365,38.48504431628452,0.0,0.0,37.19683009424033,37.687705199321535,0.0,0.0,36.716910488239506,37.2981121259036
0.5900000000000001,0.5,0.39,0.79,50,67327446062800.016,361810872500.0,186.08464029173146,-0.512820512820513,0.2531645569620252,0.2751,0.9048,-0.1149,0.11480000000000001,-0.2946153846153846,0.14531645569620255,0.21820512820512836,0.10784810126582271,0.31490000000000007,0.31479999999999997,6.8775,22.62,18.1225,2.379999999999999,9.75,19.75,15.25,5.249999999999999,0.0,0.0,48.10545069082245,45.74175546426236,0.0,0.0,48.01776489235883,57.376371185555904,0.0,0.0,64.33425623732847,66.75616710635182,0.0,0.0,64.7544569695358,54.65088427883003,0.0,0.0,56.21985346407546,56.2489612853071,0.0,0.0,56.386110930947154,56.01362773219265
0.6906,0.34,0.42,0.83,50,4923689695575.0,3916360448.0,1257.2105558081155,-0.6442857142857144,0.16795180722891564,0.2802,0.9019,-0.13979999999999998,0.07190000000000007,-0.3328571428571428,0.08662650602409648,0.3114285714285715,0.08132530120481915,0.4104,0.21130000000000004,4.7634,29.762699999999995,12.2366,1.6676999999999995,7.14,27.389999999999993,9.860000000000001,2.8900000000000006,0.0,0.0,39.2728350182611,40.74723003926003,0.0,0.0,40.83849963934888,50.113142792840875,0.0,0.0,66.07448803519279,62.09178389842889,0.0,0.0,64.98291617634675,47.29607719468882,0.0,0.0,48.38539704401788,48.004378351377454,0.0,0.0,49.04760126192805,49.155340489469026
0.902,0.02,0.51,0.91,50,2118760.0,1906884.0,1.1111111111111112,-0.7686274509803922,0.008791208791208798,0.3635,0.9129,-0.14650000000000002,0.0029000000000000137,-0.28725490196078435,0.0031868131868132018,0.48137254901960785,0.005604395604395597,0.5385,0.01090000000000002,0.3635,44.7321,0.6365000000000001,0.08709999999999996,0.51,44.59,0.49,0.08999999999999997,0.0,0.0,37.54524609292117,37.68531960707879,0.0,0.0,38.51594596632648,38.1109321185603,0.0,0.0,90.35572480243391,132.7168396996381,0.0,0.0,90.35572480243394,51.801839427039326,0.0,0.0,38.60145566711142,39.58595000892998,0.0,0.0,39.55274154304868,38.38475026472992
0.6248,0.56,0.44,0.86,50,30405943383200.004,40460934150.0,751.4889120077323,-0.42000000000000004,0.27348837209302324,0.387,0.9273,-0.05299999999999999,0.06730000000000003,-0.12045454545454544,0.0782558139534884,0.2995454545454546,0.19523255813953483,0.2378,0.3025,10.836000000000002,20.400599999999997,17.164,2.0356,12.320000000000002,18.919999999999998,15.680000000000003,3.920000000000001,0.0,0.0,41.95933946281357,40.727296931165505,0.0,0.0,42.140836842896,51.19233765433826,0.0,0.0,62.644129288838876,65.31125369487336,0.0,0.0,62.456438855659286,53.97350560437381,0.0,0.0,53.54282176538774,54.494312718841904,0.0,0.0,53.51757397004366,52.749791706358366
0.4181,0.87,0.37,0.74,50,47129212243959.99,3977732238270.0,11.84826162770008,-0.1300000000000001,0.43499999999999994,0.3437,0.9157,-0.02629999999999999,0.17569999999999997,-0.07108108108108105,0.2374324324324324,0.05891891891891903,0.19756756756756758,0.07440000000000002,0.49759999999999993,14.95095,5.95205,28.54905,3.667050000000002,16.095,4.81,27.405,11.31,0.0,0.0,49.948348978597785,51.054849566183094,0.0,0.0,47.58124635935762,68.97214459178142,0.0,0.0,73.47738001973272,70.70996853424074,0.0,0.0,72.39627369332501,66.81233162651428,0.0,0.0,70.18331567397384,67.95825187871267,0.0,0.0,68.92216986656936,67.11470544165184
0.8888,0.17,0.59,0.95,50,15890700.0,45920.0,346.0518292682927,-0.5064406779661018,0.06442105263157887,0.5453,0.9591,-0.04469999999999996,0.009099999999999997,-0.07576271186440672,0.00957894736842105,0.4306779661016951,0.05484210526315782,0.3435,0.07029999999999992,4.63505,39.80265,3.86495,0.3476500000000004,5.015,39.425,3.4850000000000003,0.4250000000000004,0.0,0.0,34.044989569128234,32.129070396768476,0.0,0.0,34.180230259669344,34.970173890562705,0.0,0.0,51.088350708364885,64.082098667488,0.0,0.0,47.07093843623538,37.96870332574635,0.0,0.0,36.771927351406106,37.2415549200836,0.0,0.0,36.24274356791982,35.449938600191956
0.5748,0.66,0.5,0.72,50,88749815264600.02,7220177644679.998,12.291915743928133,-0.14959999999999996,0.20166666666666666,0.3925,0.9285,-0.10749999999999998,0.20850000000000002,-0.21499999999999997,0.28958333333333336,-0.06540000000000001,-0.0879166666666667,0.18229999999999996,0.3537,12.9525,15.7845,20.0475,2.3595,16.5,12.24,16.5,9.24,0.0,0.0,48.8552748847962,43.79181533687263,0.0,0.0,46.41891490913325,55.62658212272041,0.0,0.0,61.98897755916836,60.944790890796256,0.0,0.0,60.73240602478752,56.32193648696975,0.0,0.0,57.52351864988182,55.11277920246223,0.0,0.0,55.86581904546494,56.08551600312458
0.7207999999999999,0.28,0.44,0.83,50,937845656300.0,25068083040.0,37.4119415036053,-0.638181818181818,0.13156626506024105,0.2537,0.9024,-0.18630000000000002,0.07240000000000002,-0.42340909090909096,0.08722891566265063,0.21477272727272695,0.04433734939759043,0.4670999999999999,0.1816000000000001,3.5518,32.486399999999996,10.4482,1.3664000000000005,6.160000000000001,29.88,7.840000000000002,2.380000000000001,0.0,0.0,41.50270060477273,42.007372807640294,0.0,0.0,41.7430459934186,47.15950100859319,0.0,0.0,63.6942626233769,61.018207943710195,0.0,0.0,64.06325084280023,45.51773335493003,0.0,0.0,47.716337969981915,47.33040664573987,0.0,0.0,47.99270335124572,46.699806065567564
0.6295,0.65,0.5,0.87,50,30405943383200.004,81746933040.0,371.95209963806127,-0.2589999999999999,0.27643678160919544,0.465,0.9349,-0.034999999999999976,0.06489999999999996,-0.06999999999999995,0.07459770114942524,0.18899999999999995,0.20183908045977023,0.16449999999999992,0.3054,15.1125,16.36075,17.387499999999996,2.1157500000000016,16.25,15.225,16.25,4.2250000000000005,0.0,0.0,38.16443009995693,35.20547006988887,0.0,0.0,38.672345051285276,46.10768378123231,0.0,0.0,56.591877544901884,61.869596586969934,0.0,0.0,55.95446407629626,52.115075258454475,0.0,0.0,49.957996464721695,52.27051104082075,0.0,0.0,49.73290122729225,49.95241432665461
0.696,0.56,0.52,0.92,50,4923689695575.0,842448600.0,5844.4986383442265,-0.3384615384615383,0.2434782608695653,0.5014,0.9435,-0.01860000000000006,0.023499999999999965,-0.035769230769230886,0.025543478260869525,0.3026923076923074,0.21793478260869578,0.1946,0.24750000000000005,14.039200000000001,20.756999999999998,13.960800000000003,1.582,14.560000000000002,20.24,13.440000000000001,2.2399999999999993,0.0,0.0,36.58797206972334,35.20970648893205,0.0,0.0,36.03469796685546,50.83167479648268,0.0,0.0,59.15595892108439,57.797352713880976,0.0,0.0,59.06907732467195,47.43008168134637,0.0,0.0,49.22604470648553,47.858788374903455,0.0,0.0,48.93395040723265,48.926782652006246
0.7223999999999999,0.67,0.63,0.91,50,937845656300.0,5677077120.0,165.19868172937555,-0.14666666666666656,0.20615384615384624,0.609,0.9526,-0.02100000000000002,0.04259999999999997,-0.03333333333333336,0.04681318681318678,0.11333333333333319,0.15934065934065947,0.11339999999999995,0.23020000000000007,20.4015,15.717899999999997,13.098500000000001,1.5878999999999999,21.105,15.014999999999997,12.395,3.014999999999999,0.0,0.0,38.98484837957274,35.979200769853776,0.0,0.0,39.557221853268416,46.397726867611425,0.0,0.0,52.46099278545331,53.94781815316219,0.0,0.0,51.0574956672315,46.13107678282889,0.0,0.0,47.879103687453906,47.838488242837315,0.0,0.0,47.147402570483926,46.2217378116552
0.35350000000000004,0.97,0.34,0.79,50,9847379391150.002,2254848913647.0,4.367201426024956,-0.03970588235294121,0.5525316455696202,0.3361,0.9159,-0.0039000000000000146,0.1259,-0.01147058823529416,0.15936708860759494,0.02823529411764705,0.3931645569620253,0.017400000000000027,0.5624,16.30085,1.3738500000000013,32.199149999999996,4.078849999999997,16.490000000000002,1.1850000000000012,32.01,10.184999999999999,0.0,0.0,75.9599756461636,72.5910308017618,0.0,0.0,70.16365953833467,66.94232473601485,0.0,0.0,67.66037935390403,66.90564207646423,0.0,0.0,66.84722493607218,67.23160700175956,0.0,0.0,67.99236320559442,67.13305762547614,0.0,0.0,66.9798823201627,67.22003571112977
0.552,0.8,0.46,0.92,50,108043253365600.0,113380261800.0,952.9282403332746,-0.20000000000000004,0.39999999999999997,0.456,0.9357,-0.0040000000000000036,0.015699999999999936,-0.00869565217391305,0.017065217391304278,0.191304347826087,0.3829347826086957,0.09600000000000003,0.38369999999999993,18.240000000000002,9.356999999999998,21.76,2.572000000000001,18.400000000000002,9.2,21.6,3.1999999999999984,0.0,0.0,34.53713958964868,29.72026130800192,0.0,0.0,34.70953900862128,50.73359720590447,0.0,0.0,63.6145148381909,62.12828665622604,0.0,0.0,62.71354615539503,58.89747844980313,0.0,0.0,57.799039788482446,55.64668158658121,0.0,0.0,57.11274472604017,57.26470220102351
0.5352,0.51,0.3,0.78,50,121548660036299.98,20431672800.0,5949.031252903579,-0.7840000000000001,0.31384615384615383,0.1936,0.8906,-0.1064,0.11059999999999992,-0.3546666666666667,0.14179487179487169,0.42933333333333346,0.17205128205128217,0.3416,0.35539999999999994,4.9368,21.819699999999997,20.563200000000002,2.789700000000001,7.6499999999999995,19.11,17.849999999999998,5.609999999999999,0.0,0.0,47.437049446508055,45.98041036080718,0.0,0.0,47.98031654254424,58.89859142051345,0.0,0.0,68.33355184613174,73.02736246791402,0.0,0.0,66.98729582483844,55.657554436951656,0.0,0.0,57.8853006463199,59.5038864143606,0.0,0.0,57.483806183691215,57.27807292873252
0.6900000000000001,0.4,0.45,0.85,50,4923689695575.0,23935307760.0,205.70822589560888,-0.5333333333333334,0.18823529411764697,0.3509,0.916,-0.09910000000000002,0.06600000000000006,-0.22022222222222226,0.07764705882352949,0.3131111111111112,0.11058823529411749,0.33910000000000007,0.22599999999999998,7.018,27.48,12.982,1.6799999999999993,9.0,25.5,11.0,3.0000000000000004,0.0,0.0,41.886048685112364,43.57494856677343,0.0,0.0,41.339549579951495,51.334798059948206,0.0,0.0,63.264377778278416,60.206383089296445,0.0,0.0,60.60873207455204,46.33502497558614,0.0,0.0,50.4373803223788,50.227522375782634,0.0,0.0,49.04722257779171,49.33488882620347
0.3526000000000001,0.97,0.34,0.76,50,9847379391150.002,2254848913647.0,4.367201426024956,-0.03705882352941193,0.5360526315789472,0.335,0.9187,-0.0050000000000000044,0.15869999999999995,-0.014705882352941188,0.20881578947368415,0.02235294117647074,0.3272368421052631,0.01760000000000006,0.5660999999999998,16.247500000000002,1.378050000000001,32.252500000000005,3.9430500000000017,16.490000000000002,1.140000000000001,32.01,11.639999999999999,0.0,0.0,72.17677315542784,46.72194344578503,0.0,0.0,65.99838925009863,57.45592077076795,0.0,0.0,69.89488185144592,69.68724586592505,0.0,0.0,68.55624715712926,69.01731147061197,0.0,0.0,69.98615750360518,68.76863376911946,0.0,0.0,68.45393284084807,68.55485584261828
0.8288,0.24,0.54,0.92,50,2505433700.0,68205060.0,36.733839102260156,-0.5348148148148146,0.09913043478260876,0.4683,0.9426,-0.07170000000000004,0.022599999999999953,-0.13277777777777786,0.024565217391304295,0.40203703703703686,0.07456521739130446,0.3605,0.11380000000000001,5.6196,35.8188,6.380400000000001,0.6888000000000001,6.48,34.96,5.52,0.9599999999999995,0.0,0.0,36.78109481928929,36.6981325460636,0.0,0.0,37.25110560489888,41.291246665346804,0.0,0.0,58.956007816729354,60.38504345699279,0.0,0.0,59.31827808984771,41.917296934695784,0.0,0.0,42.103073938674896,42.382991164686615,0.0,0.0,42.54722700128667,41.441498729990684
0.652,0.35,0.34,0.82,50,18053528883775.0,5607516096.0,3219.5233281012056,-0.9176470588235294,0.20487804878048774,0.2134,0.8881,-0.12660000000000002,0.06810000000000005,-0.3723529411764706,0.08304878048780494,0.5452941176470587,0.12182926829268279,0.4386,0.23609999999999998,3.7345,28.86325,13.7655,1.95825,5.95,26.65,11.549999999999999,3.150000000000001,0.0,0.0,42.9998334618704,44.04830985577359,0.0,0.0,42.91515204867815,55.75104652925716,0.0,0.0,81.1416647035611,75.15853208507065,0.0,0.0,80.55932129929084,53.696839275158176,0.0,0.0,55.968056084045244,54.625785413734604,0.0,0.0,55.714169593886254,55.05261606286351
0.5065999999999999,0.66,0.34,0.83,50,126410606437752.05,131604969600.0,960.5306457800515,-0.4899999999999997,0.3896385542168675,0.2995,0.9085,-0.040500000000000036,0.07850000000000001,-0.11911764705882363,0.09457831325301207,0.3708823529411761,0.29506024096385547,0.20709999999999995,0.40190000000000003,9.8835,15.4445,23.116500000000002,3.0195000000000007,11.22,14.11,21.779999999999998,5.610000000000001,0.0,0.0,37.07934566639729,41.97093818321638,0.0,0.0,39.60973916768927,61.73926246719383,0.0,0.0,75.33250902357477,74.33801082818962,0.0,0.0,73.77267337786898,61.629918186667844,0.0,0.0,62.32643348213442,63.33320612889872,0.0,0.0,62.157275746407656,61.66709524204652
0.8367,0.13,0.48,0.89,50,2505433700.0,19251960.0,130.13914946841777,-0.743125,0.059887640449438215,0.3292,0.9125,-0.1508,0.022499999999999964,-0.31416666666666665,0.025280898876404456,0.4289583333333334,0.03460674157303376,0.5075000000000001,0.07579999999999998,2.1398,39.69375,4.360200000000001,0.5687500000000001,3.12,38.715,3.38,0.7149999999999999,0.0,0.0,39.13722033086867,38.888959245610536,0.0,0.0,38.91775000245897,41.23612558998152,0.0,0.0,55.58838543704653,64.23345837153413,0.0,0.0,54.04461797538525,37.24563286346708,0.0,0.0,41.11136014361003,41.93029914072137,0.0,0.0,40.73297415921009,40.75726646279957
0.738,0.48,0.53,0.93,50,937845656300.0,878850700.0,1067.127392969022,-0.39245283018867916,0.20645161290322586,0.5159,0.9429,-0.014100000000000001,0.012899999999999912,-0.026603773584905663,0.013870967741935388,0.3658490566037735,0.19258064516129048,0.22209999999999996,0.20489999999999997,12.3816,24.5154,11.6184,1.370400000000001,12.72,24.18,11.28,1.6799999999999988,0.0,0.0,33.69595916408311,35.33440012349263,0.0,0.0,35.13855706193541,47.71612948351491,0.0,0.0,59.919142209766505,58.748434161222,0.0,0.0,60.50495522294539,46.38586318422315,0.0,0.0,46.28308702601114,46.57313646160272,0.0,0.0,47.31442817922036,47.07760165985498
0.6166,0.43,0.4,0.78,50,47129212243959.99,76662822600.0,614.7596794063253,-0.5415,0.20948717948717946,0.239,0.9014,-0.16100000000000003,0.12139999999999995,-0.4025000000000001,0.15564102564102558,0.13899999999999996,0.05384615384615389,0.37760000000000005,0.28479999999999994,5.1385,25.6899,16.3615,2.1199000000000003,8.6,22.230000000000004,12.9,4.7299999999999995,0.0,0.0,47.98693212382966,48.28295417007037,0.0,0.0,47.742861173171235,56.17559299820408,0.0,0.0,67.40996782341996,67.87436015460446,0.0,0.0,67.95430781977669,54.68599128122879,0.0,0.0,56.14460711765759,56.51134468357469,0.0,0.0,56.23166876474551,55.54996027707456
