T,X,beta_B,beta_W,N,nScenarios_agg,nScenarios_eco,ratio,pct_error_beta_B_using_T,pct_error_beta_W_using_T,beta_B_est,beta_W_est,abs_error_beta_B,abs_error_beta_W,pct_error_beta_B,pct_error_beta_W,eco_improvement2_B,eco_improvement2_W,estimation_difference_B,estimation_difference_W,x_BT_est,x_WT_est,x_BTnot_est,x_WTnot_est,x_BT,x_WT,x_BTnot,x_WTnot,obj_groundtruth_True_membership_0_estimates_True_eco_True,obj_groundtruth_True_membership_0_estimates_True_eco_False,obj_groundtruth_True_membership_0_estimates_False_eco_True,obj_groundtruth_True_membership_0_estimates_False_eco_False,obj_groundtruth_False_membership_0_estimates_True_eco_True,obj_groundtruth_False_membership_0_estimates_True_eco_False,obj_groundtruth_False_membership_0_estimates_False_eco_True,obj_groundtruth_False_membership_0_estimates_False_eco_False,obj_groundtruth_True_membership_1_estimates_True_eco_True,obj_groundtruth_True_membership_1_estimates_True_eco_False,obj_groundtruth_True_membership_1_estimates_False_eco_True,obj_groundtruth_True_membership_1_estimates_False_eco_False,obj_groundtruth_False_membership_1_estimates_True_eco_True,obj_groundtruth_False_membership_1_estimates_True_eco_False,obj_groundtruth_False_membership_1_estimates_False_eco_True,obj_groundtruth_False_membership_1_estimates_False_eco_False,obj_groundtruth_True_membership_None_estimates_True_eco_True,obj_groundtruth_True_membership_None_estimates_True_eco_False,obj_groundtruth_True_membership_None_estimates_False_eco_True,obj_groundtruth_True_membership_None_estimates_False_eco_False,obj_groundtruth_False_membership_None_estimates_True_eco_True,obj_groundtruth_False_membership_None_estimates_True_eco_False,obj_groundtruth_False_membership_None_estimates_False_eco_True,obj_groundtruth_False_membership_None_estimates_False_eco_False
0.817825,0.219,0.564,0.889,200,2.8586897941835163e+40,1.3502699443067955e+35,211712.46581002115,-0.45004432624113494,0.08006186726659166,0.5526,0.8921,-0.011399999999999966,0.0030999999999999917,-0.02021276595744675,0.0034870641169853674,0.4298315602836882,0.0765748031496063,0.26522500000000004,0.07427499999999998,24.203879999999998,139.34602,19.59612,4.726019999999999,24.703199999999995,138.86180000000002,19.0968,4.861799999999999,27.010616089065838,25.400749915712765,25.933377241577844,26.141623128923143,26.90536133741569,28.05207478281426,25.2584478894403,28.82087589838268,44.95539489600141,41.097679578019324,43.363858310842126,40.906471106171495,42.50591008931928,30.698310609731866,42.96426998345564,28.791776539835435,30.868743532556998,28.77558979310869,29.680930671469664,29.316065444031555,30.2594793190747,28.6210154856017,29.065199639653695,28.814619536295133
0.473435,0.765,0.398,0.719,200,6.327350601805616e+58,7.121247517479207e+54,8885.1715746083,-0.18953517587939692,0.3415368567454798,0.3453,0.8905,-0.052700000000000025,0.17149999999999999,-0.1324120603015076,0.23852573018080667,0.057123115577889315,0.10301112656467315,0.128135,0.41706499999999996,52.8309,41.8535,100.16910000000001,16.753500000000006,60.894000000000005,33.793,92.106,42.993,32.06073086738464,35.2305901852493,33.00029704465039,34.41880826114926,31.071307131638825,42.96194350742051,32.8346252877553,43.81951261286062,46.47313551743512,45.03929936027782,45.024777930355995,44.91600009919482,46.291870950750315,41.7804272176973,45.61216492501516,41.76081504002618,43.08622042467325,42.73425270414612,42.19902492221519,42.44916001725413,42.715038453258735,42.05808354578261,42.609443110259114,42.244608969642314
0.625182,0.863,0.586,0.872,200,1.6884999734641889e+56,4.67299439414125e+53,361.3314785014807,-0.06686348122866903,0.28304816513761466,0.5863,0.8699,0.000300000000000078,-0.0020999999999999908,0.0005119453924916007,-0.0024082568807339342,0.06635153583617744,0.28063990825688073,0.03888199999999997,0.244718,101.19538,23.83526,71.40462,22.45526,101.14359999999999,23.8928,71.4564,22.0928,28.180199285637592,27.382733148828795,28.933854356429357,25.839182060954776,26.64055225358223,39.74838865543538,27.99451216663777,34.55982174348435,38.082034667968564,36.392695118487474,37.438051809761156,36.925566297921094,37.162489184913646,34.69809633580002,36.73885884928772,35.4735209122643,36.695777714442215,35.13130044273527,36.2474641662947,35.373472504745806,35.68941801452691,35.40513726054903,35.51465031371624,35.345603028634976
0.7796479999999999,0.648,0.692,0.941,200,1.3766355576984718e+45,3.3863438905809e+39,406525.62237626757,-0.1266589595375722,0.1714686503719448,0.7322,0.8669,0.040200000000000014,-0.07409999999999994,0.058092485549132974,-0.07874601487778952,0.06856647398843922,0.09272263549415527,0.047447999999999935,0.08725200000000011,94.89312,61.029759999999996,34.706880000000005,17.24976,89.68319999999999,66.2464,39.9168,7.646400000000006,23.973856714671076,22.231212735627185,21.67348865233354,22.064615019221755,24.769118990685445,28.575831537295972,22.10853612940995,28.461926734198666,31.618499877853587,33.69476281860225,34.45997254729532,32.75474104008675,31.216950561278452,29.244476833128434,33.193717398170456,29.445860404140532,28.90465155492383,29.6252025391461,29.92077076458387,28.95974630267969,28.92797035371794,29.00710775310739,29.25847804775997,29.09656395131079
0.916456,0.028,0.481,0.929,200,1.8308284289852502e+24,7.589334450732677e+21,241.2370203040006,-0.9053139293139295,0.013502691065662,0.5231,0.9277,0.042100000000000026,-0.0013000000000000789,0.08752598752598759,-0.0013993541442412043,0.8177879417879419,0.012103336921420797,0.39335600000000004,0.01124399999999992,2.9293600000000004,180.34488,2.67064,0.4048800000000002,2.6936,180.59760000000003,2.9064000000000005,0.3975999999999998,23.792002236225702,23.42633680856001,23.47097018288378,23.863232375708726,23.663979088664338,24.153160533453192,23.518691345830916,24.36421221070842,37.418663299220775,47.05720505452521,51.65521633298042,33.50580084355666,36.9840052248276,23.446979692031537,46.509728531608495,18.92958100768655,24.132668762800577,24.017108514709136,24.175576336636198,24.104296587404924,23.99697974206827,24.13550601241754,24.093467275475184,24.228346430632794
0.766584,0.134,0.486,0.81,200,1.5199024404375418e+46,3.285605173082354e+42,4625.943655340859,-0.5773333333333335,0.05360000000000001,0.5452,0.8008,0.05920000000000003,-0.009200000000000097,0.12181069958847743,-0.011358024691358144,0.455522633744856,0.04224197530864186,0.22138400000000003,0.03421599999999991,14.611360000000001,138.69856,12.18864,5.338560000000001,13.0248,140.292,13.7752,5.091999999999999,29.05812333406187,29.116493717094464,27.86557714076677,28.529790629558256,29.072935628010004,30.082433695716382,28.64889747357203,30.160856150442054,40.871838392258816,40.330117353348726,44.72327062625192,42.678269250235964,38.72614113503843,30.695767959310253,42.258219518177654,30.909337393847885,30.593906291627476,30.57426478980752,30.057077293879836,30.36909285024636,30.32785234392353,30.16216714998359,30.418109339370705,30.25815871208491
0.7653360000000001,0.424,0.543,0.929,200,1.5199024404375418e+46,6.811430997147977e+35,22313996002.80678,-0.40945856353591176,0.17617222820236805,0.6196,0.8725,0.0766,-0.056499999999999995,0.14106813996316758,-0.060818083961248645,0.2683904235727442,0.1153541442411194,0.1457360000000001,0.10716399999999993,52.54208,100.51200000000001,32.25792,10.811999999999996,46.0464,107.02080000000002,38.7536,6.020799999999996,22.633538054490096,23.66117926276619,21.448395310240826,22.09669576028094,22.58391095089558,29.020070096922993,22.389856618743604,28.278476001113116,39.60506697449005,35.76606029956266,37.66384725444566,39.29895461928972,38.140113617033,28.6209604369926,38.74898062666012,29.72729842982383,29.761580200890076,28.745229298220707,28.258885126806874,29.321644481064627,29.117516070673545,28.85244403975233,29.260688702068556,28.886981421171768
0.678176,0.532,0.476,0.908,200,3.554101244305032e+53,5.098568648697497e+42,69707823689.16379,-0.4247394957983194,0.25311013215859035,0.4991,0.8816,0.02310000000000001,-0.02639999999999998,0.048529411764705904,-0.029074889867841385,0.3762100840336135,0.22403524229074895,0.179076,0.20342400000000005,53.104240000000004,82.51776,53.29576,12.597759999999996,50.6464,84.9888,55.753600000000006,9.788799999999997,24.857963577030905,22.702925545638102,24.482538595524083,24.268116341975308,25.716887448673805,32.152901685464535,24.8794390820881,33.09634160510034,40.14457322049295,43.846480738417,39.32208245343552,41.501518505800675,39.65624894302609,34.72708877307957,40.375620576551945,33.73320711644637,32.959866688065794,33.909009797810924,32.34749684021714,33.401819488802744,33.10474904068082,33.51722084190055,33.09241527415398,33.43388032611399
0.799775,0.075,0.538,0.821,200,8.000616566629847e+42,1.0415391948454738e+41,76.81531915672981,-0.4865706319702602,0.025852618757612595,0.5703,0.8183,0.032299999999999995,-0.0026999999999999247,0.06003717472118958,-0.003288672350791626,0.4265334572490706,0.022563946406820967,0.22947499999999998,0.018525000000000014,8.5545,151.3855,6.445499999999999,2.7254999999999994,8.07,151.885,6.93,2.6850000000000005,27.907553309126733,28.693570281810498,27.714026075481993,27.40003483702373,27.80847561604283,29.177312223759223,27.618899308091397,28.825712414254774,41.20746980755096,39.45926726354186,48.171219970215674,40.35957235029758,39.66175777637811,23.97757543076161,45.87005790768012,28.573491964489193,28.90504704650855,29.50099755544035,29.24831561758703,28.372000150519263,28.697471778067886,28.787331964284355,28.987736203060525,28.80679588052217
0.794726,0.382,0.605,0.912,200,3.0288048430809503e+43,1.9907895111735707e+36,15214088.812912568,-0.3135966942148761,0.12858991228070174,0.6467,0.8862,0.04170000000000007,-0.025800000000000045,0.06892561983471086,-0.028289473684210576,0.24467107438016528,0.10030043859649117,0.148026,0.09147399999999994,49.407880000000006,109.53432,26.992119999999996,8.694320000000001,46.222,112.7232,30.178000000000004,6.723199999999998,24.390846226727927,24.881757045025186,23.484205804442063,25.244881248122667,25.07222418422093,29.57106910934954,23.731457288181172,29.234664244042406,36.06763077522507,37.68135759075343,39.73145796931321,39.81755410622846,36.219126465917796,29.193005378863507,39.38730062367049,30.03200281980332,28.828024355156842,29.745605252401926,29.658161627093108,30.782496934202893,29.308047051265856,29.427404891764827,29.680677755667467,29.53765290283165
