T,X,beta_B,beta_W,N,nScenarios_agg,nScenarios_eco,ratio,pct_error_beta_B_using_T,pct_error_beta_W_using_T,beta_B_est,beta_W_est,abs_error_beta_B,abs_error_beta_W,pct_error_beta_B,pct_error_beta_W,eco_improvement2_B,eco_improvement2_W,estimation_difference_B,estimation_difference_W,x_BT_est,x_WT_est,x_BTnot_est,x_WTnot_est,x_BT,x_WT,x_BTnot,x_WTnot,obj_gt_T_memb_0_est_T_eco_T,obj_gt_T_memb_0_est_T_eco_F,obj_gt_T_memb_0_est_F_eco_T,obj_gt_T_memb_0_est_F_eco_F,obj_gt_F_memb_0_est_T_eco_T,obj_gt_F_memb_0_est_T_eco_F,obj_gt_F_memb_0_est_F_eco_T,obj_gt_F_memb_0_est_F_eco_F,obj_gt_T_memb_1_est_T_eco_T,obj_gt_T_memb_1_est_T_eco_F,obj_gt_T_memb_1_est_F_eco_T,obj_gt_T_memb_1_est_F_eco_F,obj_gt_F_memb_1_est_T_eco_T,obj_gt_F_memb_1_est_T_eco_F,obj_gt_F_memb_1_est_F_eco_T,obj_gt_F_memb_1_est_F_eco_F,obj_gt_T_memb_N_est_T_eco_T,obj_gt_T_memb_N_est_T_eco_F,obj_gt_T_memb_N_est_F_eco_T,obj_gt_T_memb_N_est_F_eco_F,obj_gt_F_memb_N_est_T_eco_T,obj_gt_F_memb_N_est_T_eco_F,obj_gt_F_memb_N_est_F_eco_T,obj_gt_F_memb_N_est_F_eco_F
0.8571,0.17,0.55,0.92,50,536878650.0,746200.0,719.483583489681,-0.5583636363636362,0.06836956521739138,0.5968,0.9104,0.04679999999999995,-0.009600000000000053,0.085090909090909,-0.010434782608695709,0.4732727272727272,0.05793478260869567,0.2603,0.053300000000000014,5.0728,37.7816,3.4272,0.7616,4.675000000000001,38.18,3.8249999999999997,0.6799999999999997,0.0,0.0,35.48552410139493,36.83763274537239,0.0,0.0,35.54325161724308,39.586783191778245,0.0,0.0,69.90938698446591,62.94197636456068,0.0,0.0,72.97310046903988,39.353556843856055,0.0,0.0,40.99334216268629,41.01432772444252,0.0,0.0,41.532027433530594,39.549466976110736
0.7845,0.33,0.55,0.9,50,37353738800.0,62416640.0,598.4580201689806,-0.4263636363636362,0.12833333333333338,0.5945,0.878,0.044499999999999984,-0.02200000000000002,0.08090909090909087,-0.024444444444444467,0.34545454545454535,0.10388888888888892,0.18999999999999995,0.09350000000000003,9.80925,29.413,6.6907499999999995,2.013,9.075000000000001,30.150000000000002,7.424999999999999,1.6499999999999997,0.0,0.0,37.231362511844075,37.14662096947756,0.0,0.0,36.34861134667656,41.63563405345805,0.0,0.0,63.061613404595334,59.67278966511796,0.0,0.0,60.50631993279575,43.99788407305124,0.0,0.0,45.49704279752447,44.354994952082485,0.0,0.0,44.079078094234816,42.39155405972788
0.8859999999999999,0.3,0.76,0.94,50,15890700.0,8933925.0,1.778691896338955,-0.16578947368421038,0.05744680851063835,0.6499,0.9871,-0.11009999999999998,0.04710000000000003,-0.14486842105263154,0.05010638297872344,0.020921052631578833,0.0073404255319149125,0.23609999999999987,0.10110000000000008,9.7485,34.5485,5.251499999999999,0.19350000000000034,11.4,32.9,3.5999999999999996,0.9000000000000008,0.0,0.0,37.12353365034167,35.25601391024166,0.0,0.0,35.15512224620484,37.93337922057229,0.0,0.0,45.56136534049989,44.89880243891425,0.0,0.0,45.78417150677487,35.02026998811971,0.0,0.0,39.654883157389136,38.14885046884344,0.0,0.0,38.34383702437576,37.059446450836596
0.6560000000000001,0.1,0.44,0.68,50,18053528883775.0,3448674255839.9995,5.234918564199874,-0.49090909090909124,0.03529411764705869,0.576,0.6648,0.13599999999999995,-0.015200000000000102,0.30909090909090897,-0.02235294117647074,0.18181818181818224,0.012941176470587953,0.08000000000000018,0.008799999999999808,2.88,29.915999999999997,2.12,1.6760000000000002,2.2,30.6,2.8000000000000003,1.5999999999999996,0.0,0.0,49.74027244025548,49.49940289308987,0.0,0.0,49.04947567287222,50.783200873297986,0.0,0.0,73.6666046798625,84.4286046861327,0.0,0.0,71.87826540794907,57.002920242345866,0.0,0.0,52.13290566421619,52.99232307239414,0.0,0.0,51.33235464637994,51.40517281020276
0.6726,0.73,0.57,0.95,50,9847379391150.002,95002337430.00002,103.65407481058858,-0.18000000000000005,0.292,0.5981,0.8739,0.028100000000000014,-0.07609999999999995,0.04929824561403512,-0.08010526315789468,0.13070175438596493,0.2118947368421053,0.07450000000000001,0.20130000000000003,21.83065,11.79765,14.669350000000001,4.60265,20.805,12.825,15.695000000000002,1.8250000000000015,0.0,0.0,35.94674146286155,32.49083599420468,0.0,0.0,34.29471595352389,47.53523614723333,0.0,0.0,54.66756768315527,56.59585520941816,0.0,0.0,55.24327352685725,50.57621431266513,0.0,0.0,49.425736341473026,49.84644982915838,0.0,0.0,49.377677406323755,49.72474042634411
0.8125,0.25,0.55,0.9,50,10272278170.0,61025580.0,168.32741565094506,-0.4772727272727271,0.09722222222222224,0.5899,0.8866,0.039899999999999936,-0.013399999999999967,0.07254545454545443,-0.014888888888888853,0.4047272727272727,0.0823333333333334,0.22260000000000002,0.07410000000000005,7.373749999999999,33.2475,5.126250000000001,1.4174999999999993,6.875000000000001,33.75,5.624999999999999,1.2499999999999998,0.0,0.0,36.53316764724214,35.52774261867365,0.0,0.0,36.70141191508678,41.80710905780836,0.0,0.0,53.02725579845261,51.49191250422799,0.0,0.0,55.230837572897,38.305270456623106,0.0,0.0,40.49174880353266,39.359143391206686,0.0,0.0,41.14847407296135,40.966667793524046
0.7645,0.53,0.6,0.95,50,121399651099.99998,177701680.0,683.165466415399,-0.27416666666666667,0.19526315789473686,0.6143,0.9338,0.01429999999999998,-0.016199999999999992,0.0238333333333333,-0.01705263157894736,0.25033333333333335,0.17821052631578949,0.1502,0.1693,16.27895,21.9443,10.221050000000002,1.754300000000001,15.899999999999999,22.325,10.600000000000001,1.325000000000001,0.0,0.0,33.46803471104394,32.9885346868429,0.0,0.0,32.96259649978542,41.089874476100164,0.0,0.0,56.19216810276597,56.96850522647519,0.0,0.0,55.063972949610005,45.02581996933412,0.0,0.0,45.2845840747394,45.45811936745169,0.0,0.0,44.45531225369412,43.13656613258188
0.6859999999999999,0.8,0.62,0.95,50,4923689695575.0,62852101650.0,78.33770973949603,-0.10645161290322572,0.2778947368421053,0.6274,0.9202,0.007399999999999962,-0.029799999999999938,0.011935483870967682,-0.03136842105263152,0.09451612903225805,0.2465263157894738,0.058599999999999985,0.23420000000000007,25.095999999999997,9.201999999999998,14.904000000000002,3.1919999999999993,24.8,9.499999999999998,15.2,2.0000000000000018,0.0,0.0,38.208913762164954,37.19959979509187,0.0,0.0,36.46792655497361,52.29806468430688,0.0,0.0,51.65506857076127,53.60343100083587,0.0,0.0,54.28865599754329,48.65499325834317,0.0,0.0,48.96583760904201,50.32266475968707,0.0,0.0,50.72451010902934,49.383607543536016
0.686,0.64,0.56,0.91,50,4923689695575.0,86555576160.0,56.88471978366183,-0.22499999999999998,0.2461538461538461,0.589,0.8583,0.028999999999999915,-0.05170000000000008,0.05178571428571413,-0.0568131868131869,0.17321428571428585,0.18934065934065922,0.09700000000000009,0.1722999999999999,18.848,15.449399999999999,13.152000000000001,4.5344000000000015,17.92,16.38,14.079999999999998,2.879999999999999,0.0,0.0,35.34934041790132,35.313281432363794,0.0,0.0,37.019876642022325,49.48095346374667,0.0,0.0,55.588175005224315,55.863239225532666,0.0,0.0,55.85737853520742,47.5319666969167,0.0,0.0,48.30219455378804,48.46525441999188,0.0,0.0,49.07587785366077,48.233601932975546
0.9305,0.15,0.65,0.98,50,230300.0,1470.0,156.66666666666666,-0.4315384615384615,0.05051020408163264,0.623,0.9847,-0.027000000000000024,0.0047000000000000375,-0.04153846153846157,0.004795918367346977,0.3899999999999999,0.045714285714285666,0.3075,0.054200000000000026,4.6725,41.84975,2.8275,0.11474999999999985,4.875,41.65,2.625,0.15000000000000013,0.0,0.0,31.594703881190316,30.589846811455192,0.0,0.0,31.498355599599712,34.418317423649334,0.0,0.0,54.551486281608206,63.7728981008743,0.0,0.0,55.35702288214836,37.582915229519216,0.0,0.0,34.80865341724882,35.23547399197386,0.0,0.0,34.83856901915659,34.86136111647119
0.6654,0.62,0.54,0.87,50,9847379391150.002,291223448955.0,33.81382723982375,-0.23222222222222214,0.23517241379310344,0.5761,0.811,0.03609999999999991,-0.05899999999999994,0.06685185185185168,-0.06781609195402293,0.16537037037037045,0.16735632183908053,0.08930000000000005,0.14560000000000006,17.859099999999998,15.409,13.140900000000002,5.858999999999998,16.740000000000002,16.53,14.259999999999998,4.03,0.0,0.0,39.930077626087254,37.213674668112944,0.0,0.0,40.81147267222272,45.99585225083737,0.0,0.0,57.38371177896846,61.612568259700105,0.0,0.0,56.04790286659728,52.33291941431171,0.0,0.0,50.7513308008736,52.34098869489698,0.0,0.0,50.258059392735255,49.92483389219166
0.8505,0.15,0.57,0.9,50,536878650.0,3917550.0,137.0444920932726,-0.49210526315789493,0.054999999999999986,0.604,0.8939,0.03400000000000003,-0.006099999999999994,0.059649122807017604,-0.0067777777777777715,0.4324561403508773,0.048222222222222215,0.24650000000000005,0.043399999999999994,4.53,37.99075,2.97,0.7957499999999997,4.2749999999999995,38.25,3.2250000000000005,0.7499999999999998,0.0,0.0,37.54349846688062,37.415210002596226,0.0,0.0,36.37173526924905,40.39582980138245,0.0,0.0,71.75632280807275,54.381668121212556,0.0,0.0,66.95219652634192,34.48291475940864,0.0,0.0,42.33329387464751,39.79051413920252,0.0,0.0,40.652999845242064,39.56802169550616
0.8340000000000001,0.19,0.51,0.91,50,2505433700.0,11515140.0,217.57735468261785,-0.6352941176470589,0.08351648351648347,0.6015,0.8885,0.09150000000000003,-0.021500000000000075,0.1794117647058824,-0.02362637362637371,0.4558823529411765,0.05989010989010976,0.23250000000000004,0.05449999999999988,5.714250000000001,35.984249999999996,3.7857499999999997,1.0592500000000005,4.845,36.855000000000004,4.655,0.8549999999999998,0.0,0.0,35.91483124919597,34.4785279648777,0.0,0.0,36.191077674222804,38.999931277729814,0.0,0.0,57.028749565953646,69.93188526648755,0.0,0.0,52.88625715746864,45.14162760212207,0.0,0.0,39.715336546212356,40.86013227916747,0.0,0.0,39.196209981207055,40.10543661612047
0.6708000000000001,0.81,0.61,0.93,50,9847379391150.002,565668914850.0,17.408379942110233,-0.09967213114754112,0.2787096774193548,0.6177,0.8969,0.00770000000000004,-0.03310000000000002,0.012622950819672197,-0.035591397849462386,0.08704918032786892,0.24311827956989243,0.053100000000000036,0.22609999999999997,25.01685,8.520549999999997,15.483149999999998,4.1755499999999985,24.705,8.834999999999997,15.795,2.834999999999998,0.0,0.0,41.20541183660025,31.38401894105743,0.0,0.0,41.557757562378896,43.4703636510728,0.0,0.0,51.68555682244225,58.13487207006541,0.0,0.0,51.94883358413762,52.25327551255672,0.0,0.0,49.58952782527385,52.7847014442638,0.0,0.0,49.870618379785874,50.49669314025985
0.7130000000000001,0.45,0.57,0.83,50,2250829575120.0,52203731580.0,43.116258301778664,-0.25087719298245637,0.1409638554216866,0.5847,0.8179,0.014700000000000046,-0.0121,0.02578947368421061,-0.014578313253012048,0.22508771929824578,0.12638554216867456,0.12830000000000008,0.10489999999999988,13.15575,22.492250000000002,9.34425,4.097250000000001,12.825,22.825000000000003,9.675,3.825000000000001,0.0,0.0,41.4225833673653,43.503113895672755,0.0,0.0,43.26816555402736,49.764647596638554,0.0,0.0,58.23552882011396,61.68833659877953,0.0,0.0,57.11168285828394,50.09451545561845,0.0,0.0,48.820279366574695,51.504611885039736,0.0,0.0,49.359313167900154,49.90978945458963
0.8288,0.17,0.53,0.89,50,2505433700.0,52457860.0,47.760882735208796,-0.5637735849056602,0.06876404494382025,0.6071,0.8741,0.07709999999999995,-0.015900000000000025,0.14547169811320743,-0.01786516853932587,0.41830188679245284,0.05089887640449439,0.2217,0.04530000000000001,5.160349999999999,36.27515,3.3396500000000002,1.0701500000000002,4.505,36.935,3.9949999999999997,0.9349999999999998,0.0,0.0,37.10953600854954,36.62718986779337,0.0,0.0,36.10605181667435,39.790908609314705,0.0,0.0,63.522720345581945,62.38124404164893,0.0,0.0,64.24319662551244,43.93854877905853,0.0,0.0,41.335645502474726,40.74783853561026,0.0,0.0,40.607994986088556,40.45453103647376
0.8974,0.01,0.64,0.9,50,15890700.0,1906884.0,8.333333333333334,-0.4021874999999999,0.002888888888888941,0.6054,0.9003,-0.034599999999999964,0.00029999999999996696,-0.054062499999999944,0.0003333333333332966,0.34812499999999996,0.002555555555555644,0.2919999999999999,0.0029000000000000137,0.3027,44.56485,0.19729999999999998,0.049850000000000005,0.32,44.550000000000004,0.18,0.04999999999999999,0.0,0.0,35.12005992567987,35.28630268361162,0.0,0.0,34.71319030995087,34.60246172124991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.12005992567987,35.28630268361162,0.0,0.0,34.71319030995087,34.60246172124991
0.8742000000000001,0.18,0.62,0.93,50,99884400.0,1343160.0,74.36522826766729,-0.41000000000000014,0.059999999999999956,0.6003,0.9343,-0.01970000000000005,0.0042999999999999705,-0.03177419354838718,0.004623655913978462,0.37822580645161297,0.05537634408602149,0.27390000000000014,0.06009999999999993,5.402699999999999,38.3063,3.5973000000000006,0.5912999999999998,5.58,38.13,3.42,0.6299999999999996,0.0,0.0,35.58722651529514,37.384469668751855,0.0,0.0,35.24876282089191,39.6452049161593,0.0,0.0,58.41535110080051,56.259207641064734,0.0,0.0,59.1738572049652,38.06670689879131,0.0,0.0,39.6962889406861,40.78192250376817,0.0,0.0,39.555279810025155,39.36107527303298
